hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
HD 203030,HD 203030,1,1,1,100,"392,503,000.0",39.3,0,0,0,Published Confirmed,0,<a refstr=MILES_P_AACUTE_EZ_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..262M/abstract target=ref>Miles-P&aacute;ez et al. 2017</a>,,,,,,,,,"14,460",673,-448,0,"1,290",60,-40,0,"349,611,248","127,131,363","-95,348,522",0,"1,100,000","400,000","-300,000",0,Mass,,,,,,,,,1040,50,-50,0,0,G8 V,,,,,,50,-70,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h18m58.37s,"3,197,432,238",+26d13m50.10s,"262,305,846",,,"949,000","-944,000","66,530,000","230,000","-230,000",2021-09-08,2017-12,2021-09-08
HD 206893,HD 206893,1,1,1,250,"407,583,000.0",40.8,0,0,0,Published Confirmed,0,<a refstr=WARD_DUONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....5W/abstract target=ref>Ward-Duong et al. 2021</a>,"1,060,000,000,000","300,000,000,000","-240,000,000,000",0,"10,400,000","1,800,000","-1,700,000",0,,,,,,,,,"826,353,858","444,959,770","-444,959,770",0,"2,600,000","1,400,000","-1,400,000",0,Mass,"230,000","130,000","-160,000",0,,,,,1500,300,-300,0,0,F5 V,"6500,00","100,00","-100,00",0,,250,-200,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h45m22.00s,"3,263,416,874",-12d47m00.07s,"-127,833,522",,,"1,072,000","-1,066,000","55,930,000","210,000","-210,000",2022-10-31,2021-01,2022-10-31
HR 8799,HD 218396,1,1,4,30,"412,441,000.0",41.2,0,0,1,Published Confirmed,0,<a refstr=GRAVITY_COLLABORATION_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623L..11G/abstract target=ref>Gravity Collaboration et al. 2019</a>,,,,,"16,400,000","2,100,000","-1,100,000",0,"13,115","1,457","-1,233",0,"1,170",130,-110,0,"317,830,000","222,481,000","-127,132,000",0,"1,000,000","700,000","-400,000",0,Mass,"150,000","80,000","-80,000",0,,,,,1150,50,-50,0,0,A5,"7400,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h07m28.84s,"3,468,701,486",+21d08m02.54s,"211,340,376",,,"1,515,000","-1,505,000","52,400,000","180,000","-180,000",2019-06-24,2019-03,2019-06-27
TOI-2076,,0,1,3,204,"419,091,000.0",41.9,0,1,0,Published Confirmed,0,<a refstr=HEDGES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...54H/abstract target=ref>Hedges et al. 2021</a>,"1,035,566,000",600,-600,0,"63,100","2,700","-2,700",0,"2,500",60,-60,0,223,5,-5,0,,,,,,,,,,,,,,,,,,870,13,-13,0,1,K,"5187,00","54,00","-53,00",0,,53,-50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,"2,173,920,159",+39d47m25.44s,"397,903,991",,,"528,000","-526,000","71,150,000","170,000","-170,000",2022-04-12,2021-08,2022-04-12
TOI-1807,,0,1,1,300,"425,775,000.0",42.6,1,1,0,Published Confirmed,0,<a refstr=NARDIELLO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220603496N/abstract target=ref>Nardiello et al. 2022</a>,"54,937,400","1,000","-1,300",0,"12,000",300,-300,0,"1,370",90,-90,0,122,8,-8,0,"257,000","50,000","-50,000",0,809,157,-157,0,Mass,0,,,0,,,,,,,,,0,,"4730,00","75,00","-75,00",0,,80,-80,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m07.83s,"2,012,826,259",+38d55m20.52s,"389,223,671",,,"622,000","-620,000","75,680,000","99,950,000","-99,950,000",2022-06-27,2022-06,2022-06-27
HIP 21152,HD 28736,1,1,1,750,"434,073,000.0",43.4,0,0,0,Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220502729K/abstract target=ref>Kuzuhara et al. 2022</a>,"2,300,000,000,000","1,600,000,000,000","-700,000,000,000",0,"17,500,000","7,200,000","-3,800,000",0,,,,,,,,,"883,562,971","266,975,862","-171,627,340",0,"2,780,000","840,000","-540,000",0,Mass,"520,000","350,000","-350,000",0,,,,,1250,50,-50,0,0,F5 V,,,,,,100,-100,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h32m04.93s,"680,205,209",+05d24m36.27s,"54,100,745",,,"1,311,000","-1,303,000","53,330,000","210,000","-210,000",2022-07-12,2022-05,2022-07-12
HD 222259 A,HD 222259 A,1,2,1,45,"440,622,000.0",44.1,0,1,0,Published Confirmed,0,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,"813,826,800","1,100","-1,100",0,,,,,"5,700",170,-170,0,509,15,-15,0,,,,,,,,,,0,,,0,,,,,850,,,0,0,G6 V,"5428,00","80,00","-80,00",0,,4,-4,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,"3,549,154,673",-69d11m45.75s,"-691,960,430",,,"693,000","-691,000","66,760,000","340,000","-340,000",2019-07-03,2019-07,2019-07-11
30 Ari B,HD 16232,0,4,1,910,"446,570,000.0",44.7,1,0,0,Published Confirmed,0,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,"33,510,000,000","250,000,000","-250,000,000",0,"995,000","12,000","-12,000",0,,,,,,,,,"314,003,000","29,875,000","-29,875,000",0,"988,000","94,000","-94,000",0,Msini,"289,000","92,000","-92,000",0,,,,,,,,,0,F6 V,"6300,00","60,00","-60,00",0,,830,-830,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,"392,412,736",+24d38m52.84s,"246,480,103",,,"1,039,000","-1,034,000","58,220,000","210,000","-210,000",2018-04-25,2009-12,2014-05-14
BD+60 1417,,1,1,1,100,"449,543,000.0",45.0,0,0,0,Published Confirmed,0,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,,,,"1,662,000,000",,,0,"14,684",673,-673,0,"1,310",60,-60,0,"476,742,610","158,914,204","-158,914,204",0,"1,500,000","500,000","-500,000",0,Mass,,,,,,,,,1303,74,-74,0,0,K0,"4993,00","124,00","-124,00",0,,50,-50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h43m33.01s,"1,908,875,453",+60d00m51.71s,"600,143,636",,,"593,000","-592,000","72,880,000","240,000","-240,000",2022-01-10,2021-12,2022-01-10
K2-25,,1,1,1,730,"449,565,000.0",45.0,1,1,0,Published Confirmed,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,"348,456,408",60,-50,0,"28,700","1,200","-1,200",0,"3,440",120,-120,0,306,11,-11,0,"2,450,000","570,000","-520,000",0,"7,709","1,793","-1,636",0,Mass,"428,000","50,000","-49,000",0,"9,91","0,95","-0,86",0,494,11,-11,0,0,M4.5 V,"3207,00","58,00","-58,00",0,,50,-52,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h13m05.74s,"632,739,346",+15d14m51.73s,"152,477,027",,,"1,664,000","-1,653,000","104,440,000","190,000","-190,000",2022-03-28,2020-10,2022-03-28
