hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
GSC 06214-00210,,1,1,1,5,"1,085,000,000.0",108.5,0,0,0,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,"320,000,000","30,000,000","-30,000,000",0,,,,,,,,,"500,000,000","30,000,000","-30,000,000",0,"1,600,000","100,000","-100,000",0,Mass,,,,,,,,,2300,100,-100,0,0,K7,"4200,00","150,00","-150,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m54.65s,"2,454,776,921",-20d43m09.62s,"-207,193,398",,,"5,130,000","-5,080,000","91,520,000","210,000","-210,000",2015-04-01,2015-03,2015-04-01
HIP 65426,HD 116434,1,1,1,14,"1,088,750,000.0",108.9,0,0,0,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,,,,,"92,000,000",,,0,"16,814","1,121","-1,121",0,"1,500",100,-100,0,"286,047,000","95,349,000","-95,349,000",0,"900,000","300,000","-300,000",0,Mass,,,,,,,,,1500,100,-200,0,0,A2 V,"8840,00","200,00","-200,00",0,,4,-4,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h24m36.04s,"2,011,501,727",-51d30m16.34s,"-515,045,384",,,"7,530,000","-7,420,000","67,710,000","180,000","-180,000",2017-07-11,2017-09,2017-07-13
YSES 2,,1,1,1,14,"1,094,060,000.0",109.4,0,0,0,Published Confirmed,0,<a refstr=BOHN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..73B/abstract target=ref>Bohn et al. 2021</a>,,,,,"115,000,000",,,0,,,,,,,,,"200,231,896","50,852,545","-28,604,557",0,"630,000","160,000","-90,000",0,Mass,,,,,,,,,,,,,0,K1 V,"4749,00","40,00","-40,00",0,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h27m55.27s,"1,719,802,779",-66d26m04.46s,"-664,345,736",,,"3,740,000","-3,730,000","83,580,000","290,000","-290,000",2021-05-28,2021-04,2021-05-28
TOI-1268,,0,1,1,390,"1,095,570,000.0",109.6,1,1,0,Published Confirmed,0,<a refstr=DONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...926L...7D/abstract target=ref>Dong et al. 2022</a>,"815,772,800",500,-500,0,"68,000","2,000","-2,100",0,"8,373",202,-202,0,747,18,-18,0,,,,,,,,,,"130,000","270,000","-130,000",0,,,,,,,,,0,K V,"5257,00","40,00","-40,00",0,,280,-270,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h13m33.26s,"1,983,885,831",+62d18m19.37s,"623,053,799",,,"5,450,000","-5,400,000","89,110,000","140,000","-140,000",2022-02-15,2022-02,2022-02-15
HD 100546,HD 100546,1,1,1,5,"1,096,770,000.0",109.7,0,0,0,Published Confirmed,1,<a refstr=QUANZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...807...64Q/abstract target=ref>Quanz et al. 2015</a>,,,,,"53,000,000","2,000,000","-2,000,000",0,"77,342","30,264","-32,506",0,"6,900","2,700","-2,900",0,,,,,,,,,,,,,,,,,,,,,,0,B9 Vne,"10500,00",,,0,,4,-4,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m25.32s,"1,733,555,116",-70d11m41.24s,"-701,947,897",,,"6,210,000","-6,130,000","54,180,000","230,000","-230,000",2015-05-14,2015-07,2015-05-14
PDS 70,,0,1,2,5,"1,130,640,000.0",113.1,0,0,0,Published Confirmed,0,<a refstr=M_UUML_LLER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617L...2M/abstract target=ref>M&uuml;ller et al. 2018</a>,,,,,"22,200,000","6,200,000","-9,700,000",0,,,,,,,,,,,,,,,,,,"30,000","220,000","-30,000",0,,,,,,,,,0,,"3972,00","36,00","-36,00",0,,1,-1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h08m10.11s,"2,120,421,402",-41d23m52.95s,"-413,980,405",,,"5,230,000","-5,190,000","85,420,000","230,000","-230,000",2020-07-06,2018-09,2019-03-05
TOI-201,HD 39474,1,1,1,870,"1,138,250,000.0",113.8,1,1,0,Published Confirmed,0,<a refstr=HOBSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..235H/abstract target=ref>Hobson et al. 2021</a>,"5,297,818,000","4,000","-4,000",0,"300,000","20,000","-30,000",0,"11,299",135,-168,0,"1,008",12,-15,0,"13,348,860","1,589,150","-953,490",0,"42,000","5,000","-3,000",0,Mass,"280,000","60,000","-90,000",0,,,,,759,37,-26,0,0,F6 V,"6394,00","75,00","-75,00",0,,460,-490,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h49m36.43s,"874,017,825",-54d54m37.52s,"-549,104,230",,,"3,470,000","-3,450,000","78,460,000","240,000","-240,000",2021-03-25,2021-05,2021-04-01
HD 25723,HD 25723,1,1,1,950,"1,148,160,000.0",114.8,1,0,0,Published Confirmed,0,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,"45,701,000,000","129,000,000","-131,000,000",0,"1,490,000","40,000","-50,000",0,,,,,,,,,"79,457,102","4,449,598","-5,403,083",0,"250,000","14,000","-17,000",0,Msini,"40,000","50,000","-30,000",0,,,,,,,,,0,K1 III,"4766,00","49,00","-38,00",0,,590,-250,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h04m22.73s,"610,947,182",-12d47m32.01s,"-127,922,241",,,"13,570,000","-13,260,000","30,440,000","2,720,000","-2,720,000",2021-10-25,2020-12,2021-10-25
WASP-59,,1,1,1,500,"1,159,360,000.0",115.9,1,1,0,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,"791,958,500","1,000","-1,000",0,"69,700","1,100","-1,100",0,"8,687",762,-762,0,775,68,-68,0,"27,427,600","1,430,200","-1,430,200",0,"86,300","4,500","-4,500",0,Mass,"100,000","42,000","-42,000",0,,,,,670,35,-35,0,0,K5 V,"4650,00","150,00","-150,00",0,,700,-400,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h18m29.51s,"3,496,229,547",+24d53m21.40s,"248,892,770",,,"5,740,000","-5,680,000","97,230,000","180,000","-180,000",2014-05-14,2013-01,2014-05-14
TOI-2048,,1,1,1,300,"1,165,670,000.0",116.6,0,1,0,Published Confirmed,0,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,"1,379,019,000","65,000","-84,000",0,,,,,"2,060",210,-190,0,184,19,-17,0,,,,,,,,,,"130,000","180,000","-90,000",0,,,,,,,,,0,G V,"5185,00","60,00","-60,00",0,,50,-50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h51m41.79s,"2,379,241,066",+52d18m22.71s,"523,063,083",,,"2,920,000","-2,900,000","94,390,000","140,000","-140,000",2022-09-14,2022-09,2022-09-14
WASP-140,,1,2,1,500,"1,175,980,000.0",117.6,1,1,0,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,"223,598,350",80,-80,0,"32,300",500,-500,0,"16,141","4,708","-2,018",0,"1,440",420,-180,0,"77,550,520","2,224,810","-2,224,810",0,"244,000","7,000","-7,000",0,Mass,"47,000","3,500","-3,500",0,,,,,1320,40,-40,0,0,K0,"5260,00","100,00","-100,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h01m32.53s,"603,855,387",-20d27m03.60s,"-204,509,991",,,"6,010,000","-5,940,000","91,650,000","300,000","-300,000",2016-11-30,2017-03,2016-12-01
TAP 26,,1,1,1,17,"1,214,020,000.0",121.4,1,0,0,Published Confirmed,0,<a refstr=YU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1342Y/abstract target=ref>Yu et al. 2017</a>,"1,079,000,000","14,000,000","-14,000,000",0,"96,800","3,200","-3,200",0,,,,,,,,,"52,759,780","9,852,730","-9,852,730",0,"166,000","31,000","-31,000",0,Msini,,,,,,,,,,,,,0,,"4620,00","50,00","-50,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m51.71s,"647,154,450",+17d23m16.38s,"173,878,826",,,"5,690,000","-5,630,000","92,700,010","180,000","-180,000",2017-01-31,2017-05,2017-02-02
WASP-132,,0,1,2,500,"1,229,100,000.0",122.9,1,1,0,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,"713,352,100",900,-900,0,"67,000","1,000","-1,000",0,"9,752",336,-336,0,870,30,-30,0,"13,031,030","953,490","-953,490",0,"41,000","3,000","-3,000",0,Mass,0,,,0,,,,,763,16,-16,0,0,K4,"4775,00","100,00","-100,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h30m26.21s,"2,176,091,998",-46d09m34.26s,"-461,595,160",,,"5,680,000","-5,620,000","96,740,000","240,000","-240,000",2016-11-30,2017-03,2016-12-01
WASP-18,HD 10069,0,2,2,500,"1,234,830,000.0",123.5,1,1,0,Published Confirmed,0,<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>,"94,145,181",44,-44,0,"20,340",360,-360,0,"12,980",616,-616,0,"1,158",55,-55,0,"327,047,070","11,759,710","-11,759,710",0,"1,029,000","37,000","-37,000",0,Mass,,,,,,,,,2392,51,-51,0,1,,"6400,00","100,00","-100,00",0,,"1,300","-1,000",0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h37m25.07s,"243,544,618",-45d40m40.06s,"-456,777,937",,,"3,710,000","-3,690,000","81,310,000","270,000","-270,000",2019-12-02,2010-11,2016-01-14
TOI-451,,1,2,3,120,"1,237,390,000.0",123.7,0,1,0,Published Confirmed,0,<a refstr=NEWTON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...65N/abstract target=ref>Newton et al. 2021</a>,"185,870,300","2,500","-3,500",0,"28,300","1,100","-1,200",0,"1,910",120,-120,0,170,11,-11,0,,,,,,,,,,0,,,0,,,,,1491,23,-19,0,0,,"5550,00","56,00","-56,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h11m51.93s,"629,663,850",-37d56m23.03s,"-379,397,300",,,"3,860,000","-3,840,000","91,900,000","230,000","-230,000",2021-01-21,2021-02,2021-01-28
Kepler-78,,0,2,1,625,"1,243,760,000.0",124.4,1,1,0,Published Confirmed,0,<a refstr=HOWARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Natur.503..381H/abstract target=ref>Howard et al. 2013</a>,"35,500,744",6,-6,0,,,,,"1,200",90,-90,0,107,8,-8,0,"169,000","41,000","-41,000",0,532,129,-129,0,Mass,,,,,,,,,,,,,0,,"5121,00","44,00","-44,00",0,,150,-150,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m58.07s,"2,937,419,543",+44d26m53.71s,"444,482,521",,,"3,300,000","-3,290,000","95,860,000","150,000","-150,000",2018-04-25,2013-11,2015-12-03
HIP 75056,,1,2,1,12,"1,252,120,000.0",125.2,0,0,0,Published Confirmed,0,<a refstr=WAGNER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...902L...6W/abstract target=ref>Wagner et al. 2020</a>,"4,700,000,000,000","3,000,000,000,000","-3,000,000,000,000",0,"30,000,000","15,000,000","-15,000,000",0,"22,418","5,604","-5,604",0,"2,000",500,-500,0,"794,571,018","158,914,204","-158,914,204",0,"2,500,000","500,000","-500,000",0,Mass,"500,000","200,000","-200,000",0,,,,,2300,300,-300,0,0,A2 V,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h20m13.36s,"2,300,556,856",-34d55m31.97s,"-349,255,486",,,"20,750,000","-20,100,000","73,020,000","290,000","-290,000",2022-01-10,2020-10,2022-01-10
HIP 67522,HD 120411,1,1,1,17,"1,272,800,000.0",127.3,0,1,0,Published Confirmed,0,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,"695,950,300","1,600","-1,500",0,,,,,"10,070",470,-470,0,898,42,-42,0,,,,,,,,,,"59,000","193,000","-46,000",0,,,,,1174,21,-20,0,0,,"5675,00","75,00","-75,00",0,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h50m06.24s,"2,075,260,010",-40d50m09.23s,"-408,358,961",,,"11,050,000","-10,870,000","81,640,000","260,000","-260,000",2020-07-17,2020-07,2020-07-23
HAT-P-2,HD 147506,0,1,1,400,"1,277,740,000.0",127.8,1,1,0,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,"560,000,000",,,0,"68,000",,,0,"12,300",,,0,"1,100",,,0,"282,860,000",,,0,"890,000",,,0,Mass,"500,000",,,0,,,,,1700,,,0,0,F8 V,"6300,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h20m36.34s,"2,451,514,324",+41d02m52.66s,"410,479,601",,,"4,250,000","-4,230,000","76,030,000","200,000","-200,000",2018-09-25,2015-04,2015-02-12
V830 Tau,,0,1,1,2,"1,301,110,000.0",130.1,1,0,0,Published Confirmed,1,<a refstr=DONATI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.534..662D/abstract target=ref>Donati et al. 2016</a>,"493,000,000","5,000,000","-5,000,000",0,"57,000","1,000","-1,000",0,,,,,,,,,"24,472,910","4,767,450","-4,767,450",0,"77,000","15,000","-15,000",0,Mass,0,,,0,,,,,,,,,0,,"4250,00","50,00","-50,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h33m10.04s,"682,918,259",+24d33m42.93s,"245,619,241",,,"6,975,000","-6,975,000","84,220,000","210,000","-210,000",2016-11-30,2016-06,2016-06-23
HAT-P-3,,0,2,1,400,"1,345,540,000.0",134.6,1,1,0,Published Confirmed,0,<a refstr=TORRES_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...666L.121T/abstract target=ref> Torres et al. 2007 </a>,"289,970,300","5,400","-5,400",0,"38,940",700,-700,0,"9,976",516,-516,0,890,46,-46,0,"19,038,017","826,358","-826,358",0,"59,900","2,600","-2,600",0,Mass,0,,,0,,,,,,,,,0,K,"5185,00","46,00","-46,00",0,,"6,500",-300,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h44m22.56s,"2,060,940,142",+48d01m42.83s,"480,285,650",,,"4,800,000","-4,770,000","94,480,000","250,000","-250,000",2018-04-25,2007-09,2016-10-06
DH Tau,,1,1,1,1,"1,348,460,000.0",134.8,0,0,0,Published Confirmed,0,<a refstr=PATIENCE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...540A..85P/abstract target=ref> Patience et al. 2012 </a>,,,,,"330,000,000",,,0,,,,,,,,,"349,600,000","317,800,000","-95,300,000",0,"1,100,000","1,000,000","-300,000",0,Mass,,,,,,,,,,,,,0,M0.5,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m41.56s,"674,231,674",+26d32m57.80s,"265,493,897",,,"12,820,000","-12,580,000","81,780,010","260,000","-260,000",2014-05-14,2012-04,2014-05-14
KELT-20,HD 185603,0,1,1,600,"1,364,260,000.0",136.4,1,1,0,Published Confirmed,0,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,"347,410,840",180,-190,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,A2 V,"8720,00","250,00","-260,00",0,,,,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m38.74s,"2,946,614,126",+31d13m09.12s,"312,192,001",,,"8,160,000","-8,070,000","74,150,000","170,000","-170,000",2022-05-03,2022-05,2022-05-03
ROXs 12,,1,2,1,8,"1,366,500,000.0",136.7,0,0,0,Published Confirmed,0,<a refstr=KRAUS_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...781...20K/abstract target=ref> Kraus et al. 2014 </a>,,,,,"210,000,000","20,000,000","-20,000,000",0,,,,,,,,,"508,500,000","127,100,000","-127,100,000",0,"1,600,000","400,000","-400,000",0,Mass,,,,,,,,,,,,,0,M0,"3850,00","100,00","-70,00",0,,4,-25,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h26m28.03s,"2,466,167,993",-25d26m48.10s,"-254,466,950",,,"7,880,000","-7,790,000","90,990,000","250,000","-250,000",2014-05-14,2014-01,2014-05-14
HIP 78530,HD 143567,1,1,1,5,"1,367,590,000.0",136.8,0,0,0,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,"740,000,000","60,000,000","-60,000,000",0,,,,,,,,,"730,000,000","30,000,000","-30,000,000",0,"2,300,000","100,000","-100,000",0,Mass,,,,,,,,,2700,100,-100,0,0,B9 V,"10500,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h01m55.44s,"2,404,810,052",-21d58m49.77s,"-219,804,920",,,"14,930,000","-14,620,000",,,,2015-04-01,2015-03,2015-04-01
HIP 78530,HD 143567,0,1,1,10,"1,367,590,000.0",136.8,0,0,0,Published Confirmed,0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,"740,000,000","60,000,000","-60,000,000",0,,,,,,,,,"770,000,000","70,000,000","-70,000,000",0,"2,400,000","200,000","-200,000",0,Mass,,,,,,,,,2700,100,-100,0,0,,"10500,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h01m55.44s,"2,404,810,052",-21d58m49.77s,"-219,804,920",,,"14,930,000","-14,620,000",,,,2015-04-01,2015-03,2015-04-01
USco1621 A,,1,1,1,7,"1,379,010,000.0",137.9,0,0,0,Published Confirmed,0,<a refstr=CHINCHILLA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A.152C/abstract target=ref>Chinchilla et al. 2020</a>,,,,,"2,880,000,000","20,000,000","-20,000,000",0,,,,,,,,,"508,528,000","63,566,000","-63,566,000",0,"1,600,000","200,000","-200,000",0,Mass,,,,,,,,,2270,90,-90,0,0,M2.5 V,"3460,00","100,00","-100,00",0,,3,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h21m29.54s,"2,453,730,855",-25d29m43.54s,"-254,954,265",,,"9,730,000","-9,600,000","101,930,000","210,000","-210,000",2020-01-13,2020-01,2020-01-16
1RXS J160929.1-210524,,0,1,1,5,"1,391,350,000.0",139.1,0,0,0,Published Confirmed,0,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,,,,,"330,000,000",,,0,"18,647",,,0,"1,664",,,0,"254,300,000","127,100,000","-63,600,000",0,"800,000","400,000","-200,000",0,Mass,,,,,,,,,1800,200,-100,0,0,K7 V,"4060,00","300,00","-200,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,"2,423,762,343",-21d04m59.31s,"-210,831,403",,,"13,320,000","-13,070,000","89,160,000","210,000","-210,000",2014-05-14,2008-12,2014-05-14
K2-33,,1,1,1,9,"1,392,680,000.0",139.3,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...61M/abstract target=ref>Mann et al. 2016</a>,"542,486,500","3,500","-3,100",0,,,,,"5,040",340,-370,0,450,30,-33,0,"117,597,100",,,1,"370,000",,,1,Mass,0,,,0,,,,,,,,,0,M3.3,"3540,00","70,00","-70,00",0,,1,-1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m14.73s,"2,425,613,635",-19d19m09.78s,"-193,193,831",,,"15,320,000","-14,990,000","100,260,000","190,000","-190,000",2016-07-06,2016-09,2016-06-23
USco1556 A,,1,1,1,7,"1,406,350,000.0",140.6,0,0,0,Published Confirmed,0,<a refstr=CHINCHILLA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A.152C/abstract target=ref>Chinchilla et al. 2020</a>,,,,,"3,500,000,000","40,000,000","-40,000,000",0,,,,,,,,,"476,745,000","63,566,000","-63,566,000",0,"1,500,000","200,000","-200,000",0,Mass,,,,,,,,,2240,100,-100,0,0,M3.0 V,"3410,00","100,00","-100,00",0,,3,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h56m24.89s,"2,391,037,198",-25d41m20.57s,"-256,890,476",,,"16,670,000","-16,290,000","104,410,000","230,000","-230,000",2020-01-13,2020-01,2020-01-16
WASP-10,,0,1,1,600,"1,409,980,000.0",141.0,1,1,0,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,"310,000,000",,,0,"38,000",,,0,"12,300",,,0,"1,100",,,0,"101,700,000",,,0,"320,000",,,0,Mass,0,,,0,,,,,950,,,0,0,K5 V,"4700,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m58.33s,"3,489,930,457",+31d27m45.90s,"314,627,508",,,"7,500,000","-7,420,000","99,830,000","180,000","-180,000",2015-02-12,2015-04,2015-02-12
K2-77,,1,1,1,850,"1,417,310,000.0",141.7,0,1,0,Published Confirmed,0,<a refstr=GAIDOS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..850G/abstract target=ref>Gaidos et al. 2017</a>,"819,979,600","68,300","-71,900",0,,,,,"2,300",160,-160,0,205,14,-14,0,"60,387,700",,,1,"190,000",,,1,Mass,"140,000","220,000","-90,000",0,"58,00","7,00","-7,00",0,,,,,0,,"4970,00","45,00","-45,00",0,,450,-450,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h40m54.85s,"552,285,210",+12d34m20.81s,"125,724,480",,,"8,740,000","-8,630,000","97,990,000","180,000","-180,000",2016-09-27,2017-01,2016-09-29
HD 14067,HD 14067,0,1,1,690,"1,420,240,000.0",142.0,1,0,0,Published Confirmed,0,<a refstr=WANG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014PASJ...66..118W/abstract target=ref>Wang et al. 2014</a>,"145,500,000,000","1,300,000,000","-1,200,000,000",0,"3,400,000","100,000","-100,000",0,,,,,,,,,"247,900,000","22,250,000","-22,250,000",0,"780,000","70,000","-70,000",0,Msini,"533,000","43,000","-47,000",0,,,,,,,,,0,G9 III,"4815,00","100,00","-100,00",0,,200,-200,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h17m10.40s,"342,933,480",+23d46m03.56s,"237,676,546",,,"8,450,000","-8,350,000","40,970,000","360,000","-360,000",2014-09-25,2014-12,2014-09-25
